#SampleID	True_SampleID	Category	Description	Sex	Nest_location	Nest_no	Body_location	Fert_status	Species	MiSeqRun
N3leaf1R1	N3leaf1	leaf	leaf	NA	NA	Nest3	NA	NA	NA	1
N3leaf2R1	N3leaf2	leaf	leaf	NA	NA	Nest3	NA	NA	NA	1
N3leaf3R1	N3leaf3	leaf	leaf	NA	NA	Nest3	NA	NA	NA	1
N3out1R1	N3out1	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus	1
N3out2R1	N3out2	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus	1
N3out3R1	N3out3	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus	1
N3PH2O1R1	N3PH2O1	water-enclosure	water	NA	NA	Nest3	NA	NA	NA	1
N3PH2O2R1	N3PH2O2	water-enclosure	water	NA	NA	Nest3	NA	NA	NA	1
N3PH2O3R1	N3PH2O3	water-enclosure	water	NA	NA	Nest3	NA	NA	NA	1
N3WTad1R1	N3WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus	1
N3WTad2R1	N3WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus	1
N3WTad3R1	N3WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus	1
N4FH2O1R1	N4FH2O1	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA	1
N4FH2O2R1	N4FH2O2	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA	1
N4FH2O3R1	N4FH2O3	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA	1
N4FTad1R1	N4FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax	1
N4FTad2R1	N4FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax	1
N4FTad3R1	N4FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax	1
N4in1R1	N4in1	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax	1
N4in2R1	N4in2	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax	1
N4in3R1	N4in3	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax	1
N4leaf1R1	N4leaf1	leaf	leaf	NA	NA	Nest4	NA	NA	NA	1
N4leaf2R1	N4leaf2	leaf	leaf	NA	NA	Nest4	NA	NA	NA	1
N4leaf3R1	N4leaf3	leaf	leaf	NA	NA	Nest4	NA	NA	NA	1
N4out1R1	N4out1	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax	1
N4out2R1	N4out2	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax	1
N4out3R1	N4out3	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax	1
N4PH2O1R1	N4PH2O1	water-enclosure	water	NA	NA	Nest4	NA	NA	NA	1
N4PH2O2R1	N4PH2O2	water-enclosure	water	NA	NA	Nest4	NA	NA	NA	1
N4PH2O3R1	N4PH2O3	water-enclosure	water	NA	NA	Nest4	NA	NA	NA	1
N4WTad1R1	N4WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax	1
N4WTad2R1	N4WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax	1
N4WTad3R1	N4WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax	1
N2-1R1	N2-1	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax	1
N2-2R1	N2-2	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax	1
N2-3R1	N2-3	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax	1
NAR1	NAR2	sterile-swab	sterile-swab	NA	NA	NA	NA	NA	NA	1
AMSecretionR1	AMSecretion	secretion	secretion	NA	NA	NA	NA	unfertilized	leucomystax	1
AMSecretionR2	AMSecretion	secretion	secretion	NA	NA	NA	NA	unfertilized	leucomystax	2
AFCN1R2	AFCN1	adult	adult	female	NA	Nest1	cloaca	fertilized	macrotis	2
AFCN2R2	AFCN2	adult	adult	female	NA	Nest2	cloaca	unfertilized	leucomystax	2
AFCN3R2	AFCN3	adult	adult	female	NA	Nest3	cloaca	fertilized	otilophus	2
AFCN4R2	AFCN4	adult	adult	female	NA	Nest4	cloaca	fertilized	leucomystax	2
AFDN1R2	AFDN1	adult	adult	female	NA	Nest1	dorsal	fertilized	macrotis	2
AFDN2R2	AFDN2	adult	adult	female	NA	Nest2	dorsal	unfertilized	leucomystax	2
AFDN3R2	AFDN3	adult	adult	female	NA	Nest3	dorsal	fertilized	otilophus	2
AFDN4R2	AFDN4	adult	adult	female	NA	Nest4	dorsal	fertilized	leucomystax	2
AFVN1R2	AFVN1	adult	adult	female	NA	Nest1	ventral	fertilized	macrotis	2
AFVN2R2	AFVN2	adult 	adult 	female	NA	Nest2	ventral	unfertilized	leucomystax	2
AFVN3R2	AFVN3	adult	adult	female	NA	Nest3	ventral	fertilized	otilophus	2
AFVN4R2	AFVN4	adult	adult	female	NA	Nest4	ventral	fertilized	leucomystax	2
AMCR2	AMC	adult	adult	male	NA	NA	cloaca	unfertilized	leucomystax	2
