"X.SampleID"	"Category"	"Description"	"Sex"	"Nest_location"	"Nest_no"	"Body_location"	"Fert_status"	"Species"	"PD"	"SR"
"51"	"N1WTad2"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest1"	NA	NA	"macrotis"	44.092327586	605
"52"	"N1WTad3"	"tadpole-pond"	"tadpole-pond"	NA	NA	"Nest1"	NA	NA	"macrotis"	49.783866617	732
"53"	"N2-1"	"nest-in"	"nest-in"	NA	"inside"	"Nest2"	NA	"unfertilized"	"leucomystax"	13.971986056	123
"54"	"N2-2"	"nest-in"	"nest-in"	NA	"inside"	"Nest2"	NA	"unfertilized"	"leucomystax"	44.906091467	812
"55"	"N2-3"	"nest-in"	"nest-in"	NA	"inside"	"Nest2"	NA	"unfertilized"	"leucomystax"	45.292306876	715
"56"	"N3FH2O1"	"water-terrarium"	"water-terrarium"	NA	NA	"Nest3"	NA	NA	NA	45.415117998	654
"57"	"N3FH2O2"	"water-terrarium"	"water-terrarium"	NA	NA	"Nest3"	NA	NA	NA	44.064944628	623
"58"	"N3FH2O3"	"water-terrarium"	"water-terrarium"	NA	NA	"Nest3"	NA	NA	NA	37.670779953	512
"59"	"N3FTad1"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest3"	NA	NA	"otilophus"	61.868185512	1116
"60"	"N3FTad2"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest3"	NA	NA	"otilophus"	50.494823829	786
"61"	"N3FTad3"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest3"	NA	NA	"otilophus"	46.223322593	702
"62"	"N3in1"	"nest-in"	"nest-in"	NA	"inside"	"Nest3"	NA	"fertilized"	"otilophus"	9.633079713	66
"63"	"N3in2"	"nest-in"	"nest-in"	NA	"inside"	"Nest3"	NA	"fertilized"	"otilophus"	7.152549789	70
"64"	"N3in3"	"nest-in"	"nest-in"	NA	"inside"	"Nest3"	NA	"fertilized"	"otilophus"	11.978285681	78
"65"	"N3leaf1"	"leaf"	"leaf"	NA	NA	"Nest3"	NA	NA	NA	53.779747401	975
"66"	"N3leaf2"	"leaf"	"leaf"	NA	NA	"Nest3"	NA	NA	NA	43.769054546	732
"67"	"N3leaf3"	"leaf"	"leaf"	NA	NA	"Nest3"	NA	NA	NA	43.221499048	726
"68"	"N3out1"	"nest-out"	"nest-out"	NA	"outside"	"Nest3"	NA	"fertilized"	"otilophus"	43.828690874	698
"69"	"N3out2"	"nest-out"	"nest-out"	NA	"outside"	"Nest3"	NA	"fertilized"	"otilophus"	45.890594811	711
"70"	"N3out3"	"nest-out"	"nest-out"	NA	"outside"	"Nest3"	NA	"fertilized"	"otilophus"	33.479691399	484
"71"	"N3PH2O1"	"water-enclosure"	"water"	NA	NA	"Nest3"	NA	NA	NA	67.86163783	1126
